seed,stage,item_id,trajectory_id,step_index,normalized_step,operator_id,branch_index,base_correct,applicable,correct,modified_count,nfe,forward_calls,classification
193953942,confirmation,996,0,48,0.75,low_confidence_remask_v2,0,False,True,False,5,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
193953942,confirmation,996,0,48,0.75,matched_stochastic_continuation,0,False,True,False,0,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
193953942,localization,512,0,56,0.875,low_confidence_remask_v2,2,True,True,True,4,8,8,CROSS_CONTEXT_OR_ITEM_COLLISION
193953942,localization,512,0,56,0.875,matched_stochastic_continuation,2,True,True,True,0,8,8,CROSS_CONTEXT_OR_ITEM_COLLISION
467002859,confirmation,343,0,40,0.625,low_confidence_remask_v2,4,False,True,False,4,24,24,CROSS_CONTEXT_OR_ITEM_COLLISION
467002859,confirmation,343,0,40,0.625,matched_stochastic_continuation,4,False,True,False,0,24,24,CROSS_CONTEXT_OR_ITEM_COLLISION
467002859,localization,677,0,40,0.625,low_confidence_remask_v2,1,False,True,False,7,24,24,CROSS_CONTEXT_OR_ITEM_COLLISION
467002859,localization,677,0,40,0.625,matched_stochastic_continuation,1,False,True,False,0,24,24,CROSS_CONTEXT_OR_ITEM_COLLISION
880309257,confirmation,1212,0,48,0.75,low_confidence_remask_v2,4,False,True,False,4,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
880309257,confirmation,1212,0,48,0.75,matched_stochastic_continuation,4,False,True,False,0,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
880309257,localization,758,2,48,0.75,low_confidence_remask_v2,3,True,True,True,4,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
880309257,localization,758,2,48,0.75,matched_stochastic_continuation,3,True,True,True,0,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
1415225323,confirmation,1269,0,32,0.5,low_confidence_remask_v2,6,False,True,False,4,32,32,CROSS_CONTEXT_OR_ITEM_COLLISION
1415225323,confirmation,1269,0,32,0.5,matched_stochastic_continuation,6,False,True,False,0,32,32,CROSS_CONTEXT_OR_ITEM_COLLISION
1415225323,localization,878,3,48,0.75,low_confidence_remask_v2,3,True,True,True,4,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
1415225323,localization,878,3,48,0.75,matched_stochastic_continuation,3,True,True,True,0,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
1632801805,confirmation,42,0,16,0.25,low_confidence_remask_v2,6,True,True,True,4,48,48,CROSS_CONTEXT_OR_ITEM_COLLISION
1632801805,confirmation,42,0,16,0.25,matched_stochastic_continuation,6,True,True,True,0,48,48,CROSS_CONTEXT_OR_ITEM_COLLISION
1632801805,localization,890,0,48,0.75,low_confidence_remask_v2,2,True,True,True,4,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
1632801805,localization,890,0,48,0.75,matched_stochastic_continuation,2,True,True,True,0,16,16,CROSS_CONTEXT_OR_ITEM_COLLISION
