ablation_feature_keys,ablation_test_accuracy,ablation_test_roc_auc,base_pass_at_1,base_pass_at_k,estimated_repair_branch_evals,expected_newly_solved_items,gain,gain_ci_high,gain_ci_low,negative_repair_rate,repair_branch_count,repaired_pass_at_k,repaired_pass_at_k_ci_high,repaired_pass_at_k_ci_low,run_name,selected_failed_trajectories,selected_success_trajectories,strategy,threshold,upper_bound_newly_solved_items
,,,0.23,0.345,5744,12.585693359375,0.06292846679687503,0.088945556640625,0.0400756530761719,0.0975,4,0.407928466796875,0.473965576171875,0.34573538208007815,math500_final_llada8b_fast,1236,200,confidence_low,,27
,,,0.23,0.345,5744,18.068359375,0.09034179687500005,0.12499047851562495,0.06273022460937501,0.1575,4,0.435341796875,0.49590624999999994,0.37526904296875,math500_final_llada8b_fast,1236,200,entropy_high,,34
,,,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.14773162078857419,0.08139136505126954,0.205,4,0.45782928466796874,0.5201318969726563,0.39841289520263673,math500_final_llada8b_fast,1236,200,masked_ratio_high,,43
,,,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.14846868896484372,0.07783848571777348,0.205,4,0.45782928466796874,0.5153304595947266,0.39348455810546873,math500_final_llada8b_fast,1236,200,early_step,,43
,,,0.23,0.345,5744,24.763336181640625,0.12381668090820314,0.16117042922973632,0.08652584838867186,0.24875,4,0.4688166809082031,0.5362675361633301,0.40556498336791996,math500_final_llada8b_fast,1236,200,middle_step,,41
,,,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.14685395050048827,0.0797284469604492,0.205,4,0.45782928466796874,0.526364387512207,0.39237792968749996,math500_final_llada8b_fast,1236,200,predictor,,43
,,,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.14768610382080077,0.08177996063232422,0.205,4,0.45782928466796874,0.5168116912841797,0.3988602828979492,math500_final_llada8b_fast,1236,200,predictor@0.50,0.5,43
,,,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.14905387115478516,0.08052100372314457,0.205,4,0.45782928466796874,0.5219706420898438,0.392300537109375,math500_final_llada8b_fast,1236,200,predictor@0.70,0.7,43
,,,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.14831078338623047,0.07893247985839842,0.205,4,0.45782928466796874,0.5217728805541991,0.3948284225463867,math500_final_llada8b_fast,1236,200,predictor@0.90,0.9,43
,,,0.23,0.345,5744,40.367279052734375,0.20183639526367192,0.2508181457519531,0.1544817352294922,0.0,4,0.5468363952636719,0.6051687469482422,0.4810380706787109,math500_final_llada8b_fast,1236,200,oracle,,60
"step_norm,masked_ratio,commitment_ratio,state_token_conf_mean,state_token_conf_min,masked_entropy_mean,masked_entropy_max,answer_disagreement,candidate_change_rate",0.9383116883116883,0.9442864906686799,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.1495023345947266,0.07783191680908207,0.205,4,0.45782928466796874,0.5245608444213867,0.3998453598022461,math500_final_llada8b_fast,1236,200,abl_all,,43
"state_token_conf_mean,state_token_conf_min",0.875,0.7893619470613905,0.23,0.345,5744,20.32049560546875,0.10160247802734379,0.13504267883300783,0.07166973114013676,0.24875,4,0.44660247802734376,0.506233772277832,0.38478322601318354,math500_final_llada8b_fast,1236,200,abl_confidence_only,,41
"masked_ratio,masked_entropy_mean,masked_entropy_max",0.875,0.8547802434629893,0.23,0.345,5744,22.54437255859375,0.11272186279296875,0.15314418792724607,0.077709602355957,0.205,4,0.4577218627929687,0.5227699737548829,0.3903977508544922,math500_final_llada8b_fast,1236,200,abl_mask_only,,42
step_norm,0.9383116883116883,0.948051948051948,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.1480830688476562,0.08121484375000002,0.205,4,0.45782928466796874,0.5232941436767579,0.39535358428955075,math500_final_llada8b_fast,1236,200,abl_step_only,,43
"step_norm,masked_ratio,commitment_ratio,masked_entropy_mean,masked_entropy_max,answer_disagreement,candidate_change_rate",0.9383116883116883,0.9438420783504271,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.14742858123779293,0.07913091278076169,0.205,4,0.45782928466796874,0.5176605834960937,0.3937020797729492,math500_final_llada8b_fast,1236,200,abl_no_confidence,,43
"step_norm,commitment_ratio,state_token_conf_mean,state_token_conf_min,answer_disagreement,candidate_change_rate",0.9383116883116883,0.9465125680339038,0.23,0.345,5744,22.56585693359375,0.11282928466796877,0.149839111328125,0.07908362579345704,0.205,4,0.45782928466796874,0.5199810180664063,0.3917461090087891,math500_final_llada8b_fast,1236,200,abl_no_mask,,43
"masked_ratio,commitment_ratio,state_token_conf_mean,state_token_conf_min,masked_entropy_mean,masked_entropy_max,answer_disagreement,candidate_change_rate",0.875,0.8637621912204472,0.23,0.345,5744,21.95355224609375,0.10976776123046877,0.1465686721801758,0.07569873046874998,0.20125,4,0.45476776123046875,0.5205954513549805,0.38781945800781253,math500_final_llada8b_fast,1236,200,abl_no_step,,41
,,,0.49,0.71,4052,19.37451171875,0.09687255859374999,0.13602722167968748,0.06078125000000001,0.14125,4,0.80687255859375,0.8562487182617188,0.7524032592773438,gsm8k_final_llada8b_fast,813,200,confidence_low,,24
,,,0.49,0.71,4052,21.8662109375,0.10933105468750004,0.15119189453124998,0.06930712890625,0.1675,4,0.8193310546875,0.8665287475585938,0.7664691162109375,gsm8k_final_llada8b_fast,813,200,entropy_high,,28
,,,0.49,0.71,4052,24.7255859375,0.12362792968750003,0.16714172363281252,0.0831171264648437,0.17875,4,0.8336279296875,0.8800543823242187,0.7824700317382812,gsm8k_final_llada8b_fast,813,200,masked_ratio_high,,30
,,,0.49,0.71,4052,24.7255859375,0.12362792968750003,0.17286987304687493,0.08296527099609373,0.17875,4,0.8336279296875,0.8812454833984374,0.7791547241210938,gsm8k_final_llada8b_fast,813,200,early_step,,30
,,,0.49,0.71,4052,26.23907470703125,0.1311953735351563,0.17676734924316398,0.09190917968750001,0.18875,4,0.8411953735351563,0.8850625610351562,0.79101708984375,gsm8k_final_llada8b_fast,813,200,middle_step,,34
,,,0.49,0.71,4052,24.7255859375,0.12362792968750003,0.16963665771484374,0.08221887207031255,0.17875,4,0.8336279296875,0.88163916015625,0.7839385375976562,gsm8k_final_llada8b_fast,813,200,predictor,,30
,,,0.49,0.71,4052,24.7255859375,0.12362792968750003,0.1692067260742187,0.0809115600585937,0.17875,4,0.8336279296875,0.8816915893554688,0.780012939453125,gsm8k_final_llada8b_fast,813,200,predictor@0.50,0.5,30
,,,0.49,0.71,4052,24.7255859375,0.12362792968750003,0.16419696044921875,0.08289733886718749,0.17875,4,0.8336279296875,0.8857245483398437,0.78358251953125,gsm8k_final_llada8b_fast,813,200,predictor@0.70,0.7,30
