item_id,trajectory_id,transient_correct,oracle_step,q_native_confirm,q_repair_confirm,repairable_but_never_correct,confirmed_repairable,t_last,temporal_confirmation_complete
1,0,False,16,0.125,0.125,False,False,8,False
2,0,True,8,0.0,0.0,False,False,,False
3,1,False,8,0.0,1.0,True,True,24,False
4,3,False,16,0.0,1.0,True,True,16,False
5,1,False,40,0.25,0.375,True,True,40,False
7,3,False,8,0.0,0.0,False,False,,False
8,0,False,8,0.0,0.0,False,False,,False
10,0,False,24,0.125,0.125,False,False,,False
11,1,False,8,0.0,0.625,True,True,16,False
13,2,False,8,0.875,0.75,True,True,16,False
15,0,False,8,0.125,0.125,False,False,,False
16,0,False,8,0.0,0.0,False,False,,False
17,0,False,8,0.0,0.0,False,False,,False
18,0,False,8,0.0,0.0,False,False,,False
19,2,False,16,0.375,0.375,True,True,16,False
21,0,False,8,0.0,0.0,False,False,,False
22,6,False,8,0.75,0.75,True,True,24,False
23,0,False,8,0.0,1.0,True,True,16,False
24,0,False,16,0.125,0.625,True,True,16,False
25,0,False,8,0.25,1.0,True,True,16,False
26,0,False,8,0.0,0.0,False,False,,False
27,0,False,8,0.0,0.125,False,False,40,False
28,0,False,8,0.0,0.0,False,False,,False
29,0,False,8,0.125,0.0,False,False,,False
30,0,False,8,0.0,0.0,False,False,,False
34,0,False,16,0.25,0.375,True,True,16,False
35,0,False,16,0.125,0.125,False,False,8,False
36,1,False,8,0.25,0.625,True,True,16,False
40,3,False,8,0.0,0.0,False,False,,False
41,0,False,8,0.0,0.0,False,False,,False
43,3,False,24,0.0,1.0,True,True,24,False
45,0,False,24,0.0,0.75,True,True,24,False
46,0,False,8,0.25,0.0,False,False,,False
47,0,False,8,0.375,0.5,True,True,8,False
49,0,False,8,0.0,0.0,False,False,,False
50,0,False,8,0.0,0.0,False,False,,False
51,0,False,8,0.0,0.0,False,False,,False
52,0,False,8,0.0,0.125,False,False,,False
53,0,False,16,0.0,0.625,True,True,16,False
54,0,False,8,0.125,0.0,False,False,16,False
55,1,False,8,0.0,0.0,False,False,,False
56,0,False,8,0.0,0.0,False,False,,False
57,0,False,8,0.125,0.125,False,False,16,False
58,0,False,8,0.0,0.0,False,False,,False
59,0,False,8,0.125,0.75,True,True,24,False
60,0,False,8,0.0,0.0,False,False,,False
61,0,False,8,1.0,1.0,True,True,24,False
62,0,False,16,0.125,0.0,False,False,,False
64,0,False,16,0.0,0.25,True,True,48,False
65,0,False,24,0.0,0.125,False,False,16,False
68,0,False,8,0.75,0.375,True,True,8,False
69,0,False,8,0.0,0.0,False,False,,False
70,0,False,8,0.0,0.0,False,False,,False
71,0,False,8,0.0,0.0,False,False,,False
73,0,False,8,0.0,0.0,False,False,,False
74,0,False,16,0.125,0.625,True,True,16,False
75,0,False,8,0.0,0.0,False,False,,False
76,0,False,8,0.25,0.125,False,False,,False
80,0,False,8,0.125,0.875,True,True,16,False
82,0,False,8,0.0,0.0,False,False,,False
83,0,False,48,0.25,0.75,True,True,48,False
85,0,False,8,0.0,0.0,False,False,,False
86,0,False,16,0.625,1.0,True,True,48,False
87,4,False,8,0.0,1.0,True,True,16,False
88,0,False,16,0.0,0.0,False,False,,False
89,0,False,24,0.25,0.25,True,True,48,False
90,2,False,8,0.25,0.25,True,True,8,False
91,0,False,8,0.0,0.0,False,False,,False
93,0,False,8,0.0,0.0,False,False,,False
95,5,False,24,0.875,0.75,True,True,40,False
96,4,False,8,0.75,0.75,True,True,16,False
97,0,False,8,0.0,0.0,False,False,,False
99,1,False,8,0.125,0.375,True,True,8,False
101,0,False,8,0.0,0.0,False,False,,False
103,0,False,8,0.0,0.0,False,False,,False
105,1,False,24,0.75,0.75,True,True,24,False
106,0,False,8,0.5,0.125,False,False,48,False
107,1,False,8,0.0,1.0,True,True,8,False
108,0,False,8,0.0,0.0,False,False,,False
109,1,False,24,0.0,0.625,True,True,24,False
110,0,False,24,0.0,0.125,False,False,,False
111,1,False,8,0.75,0.375,True,True,16,False
113,0,False,8,0.0,0.125,False,False,,False
115,2,False,8,0.625,1.0,True,True,16,False
117,1,False,8,0.0,0.0,False,False,,False
118,2,False,8,0.625,0.75,True,True,48,False
119,1,False,8,0.875,1.0,True,True,48,False
121,5,False,16,1.0,1.0,True,True,16,False
122,0,False,24,0.0,1.0,True,True,24,False
125,2,False,8,0.5,0.5,True,True,16,False
126,0,False,8,0.0,0.0,False,False,,False
127,0,False,8,0.0,0.0,False,False,,False
128,3,False,8,0.625,1.0,True,True,16,False
130,0,False,8,0.0,0.0,False,False,,False
131,0,False,24,0.0,0.125,False,False,,False
133,2,False,8,0.625,0.75,True,True,40,False
136,0,False,8,0.0,0.0,False,False,,False
138,0,False,8,0.0,0.0,False,False,16,False
140,0,False,8,0.0,0.0,False,False,24,False
141,3,False,8,0.625,0.25,True,True,16,False
142,0,False,24,0.0,0.0,False,False,16,False
143,1,False,24,0.25,0.125,False,False,8,False
144,1,False,24,0.25,0.125,False,False,,False
145,0,False,24,0.0,0.875,True,True,24,False
147,0,False,16,0.5,0.5,True,True,16,False
148,0,False,24,0.125,0.875,True,True,24,False
149,0,False,16,0.0,0.5,True,True,16,False
150,1,False,24,1.0,1.0,True,True,48,False
153,0,False,8,0.25,0.25,True,True,8,False
154,0,False,24,0.0,0.0,False,False,,False
155,1,False,16,0.25,0.375,True,True,16,False
156,1,False,24,0.0,1.0,True,True,24,False
157,0,False,8,0.0,0.0,False,False,,False
158,0,False,8,0.0,0.0,False,False,,False
159,0,True,8,0.0,0.625,False,True,16,False
162,0,False,24,1.0,1.0,True,True,56,False
163,0,False,24,0.0,0.125,False,False,,False
164,2,False,8,0.5,0.0,False,False,16,False
167,0,False,24,0.0,0.0,False,False,,False
169,3,False,8,0.75,0.875,True,True,16,False
170,0,False,8,0.625,0.375,True,True,16,False
171,5,False,8,0.0,1.0,True,True,24,False
172,2,False,8,1.0,0.875,True,True,40,False
173,0,False,8,0.0,0.0,False,False,,False
174,3,False,8,0.125,0.0,False,False,16,False
176,0,False,8,0.0,0.0,False,False,,False
177,1,False,8,0.0,0.0,False,False,,False
178,0,False,24,0.125,0.25,True,True,24,False
179,2,False,16,0.0,0.125,False,False,,False
180,0,False,8,0.0,0.0,False,False,,False
181,0,False,8,0.0,0.0,False,False,,False
182,0,False,56,0.0,1.0,True,True,56,False
184,0,False,8,0.0,0.0,False,False,,False
187,0,False,8,0.0,0.0,False,False,,False
189,0,False,8,0.0,0.0,False,False,,False
190,3,False,16,1.0,1.0,True,True,48,False
191,0,False,16,0.0,0.25,True,True,16,False
192,1,False,8,0.0,1.0,True,True,24,False
193,0,False,48,0.5,0.5,True,True,56,False
194,4,False,8,1.0,1.0,True,True,16,False
195,0,False,8,0.0,0.0,False,False,,False
196,3,False,8,0.125,0.0,False,False,,False
197,6,False,8,0.5,1.0,True,True,16,False
198,0,False,24,0.0,0.25,True,True,24,False
199,0,False,8,0.0,0.0,False,False,,False
200,3,False,8,1.0,1.0,True,True,48,False
201,0,False,16,0.0,0.0,False,False,,False
203,2,False,16,1.0,1.0,True,True,24,False
205,0,False,8,0.0,0.0,False,False,,False
206,0,False,8,0.0,0.0,False,False,,False
208,1,False,40,0.25,1.0,True,True,40,False
209,0,False,8,0.0,0.125,False,False,,False
210,0,False,8,0.0,0.0,False,False,,False
216,0,False,8,0.0,0.0,False,False,,False
218,0,False,16,0.125,0.125,False,False,,False
219,0,False,48,0.375,0.375,True,True,48,False
221,2,False,8,1.0,1.0,True,True,16,False
222,0,False,16,0.625,0.625,True,True,48,False
223,2,False,8,0.125,1.0,True,True,16,False
226,0,False,24,0.125,0.125,False,False,16,False
228,0,False,8,0.0,0.125,False,False,,False
229,1,False,8,0.25,0.875,True,True,16,False
230,1,False,8,0.875,0.875,True,True,16,False
231,0,False,8,0.0,0.0,False,False,,False
232,0,False,8,0.0,0.0,False,False,,False
233,0,False,16,0.125,0.375,True,True,48,False
234,0,False,8,0.0,0.25,True,True,8,False
235,0,False,8,0.0,0.0,False,False,,False
236,1,False,8,0.375,0.375,True,True,56,False
237,0,False,8,0.625,0.625,True,True,16,False
239,5,False,8,0.5,1.0,True,True,24,False
240,1,False,8,0.0,0.0,False,False,,False
241,0,False,8,0.625,0.25,True,True,16,False
242,0,False,8,0.125,0.125,False,False,,False
243,0,False,8,0.0,0.875,True,True,16,False
246,0,False,8,0.125,0.0,False,False,,False
248,1,False,16,0.75,1.0,True,True,16,False
