item_id,trajectory_id,transient_correct,oracle_step,q_native_confirm,q_repair_confirm,repairable_but_never_correct,confirmed_repairable,t_last,temporal_confirmation_complete
0,0,False,16,0.0,0.25,True,True,32,False
1,0,False,56,0.0,1.0,True,True,56,False
2,0,False,8,0.0,0.0,False,False,,False
3,3,False,8,0.125,0.375,True,True,8,False
4,0,False,8,0.0,0.125,False,False,,False
5,6,True,8,0.625,0.875,False,True,8,False
6,1,False,8,0.125,0.375,True,True,8,False
7,0,False,8,0.0,0.0,False,False,,False
8,0,False,8,0.0,0.0,False,False,,False
9,0,False,8,0.0,0.375,True,True,8,False
10,0,False,8,0.0,0.0,False,False,,False
11,0,False,8,0.0,0.0,False,False,,False
12,0,False,24,0.125,0.25,True,True,24,False
13,0,False,8,0.0,0.0,False,False,,False
14,0,False,8,0.0,0.125,False,False,,False
15,0,False,8,0.0,0.0,False,False,,False
16,3,False,8,0.0,0.5,True,True,8,False
17,0,False,8,0.125,0.0,False,False,,False
18,0,False,8,0.0,0.0,False,False,,False
19,0,True,16,0.0,0.125,False,False,,False
20,0,False,8,0.0,0.0,False,False,,False
21,0,False,8,0.0,0.0,False,False,,False
22,0,False,8,0.0,0.0,False,False,,False
23,0,False,8,0.0,0.0,False,False,,False
24,0,False,8,0.0,0.0,False,False,,False
25,0,False,8,0.0,0.0,False,False,,False
26,0,False,8,0.0,0.0,False,False,,False
27,0,False,8,0.0,0.0,False,False,,False
28,0,False,32,0.0,1.0,True,True,32,False
29,0,False,8,0.0,0.0,False,False,,False
30,0,False,8,0.0,0.0,False,False,,False
31,0,False,8,0.0,0.0,False,False,,False
32,1,False,8,0.0,0.0,False,False,,False
33,0,False,8,0.0,0.0,False,False,,False
34,0,False,8,0.0,0.0,False,False,,False
35,0,False,8,0.0,0.0,False,False,,False
36,0,False,8,0.0,0.0,False,False,,False
37,1,False,16,0.125,0.625,True,True,16,False
38,3,False,8,0.0,0.25,True,True,8,False
39,0,False,8,0.125,0.125,False,False,16,False
40,3,False,8,0.0,0.0,False,False,,False
41,0,False,8,0.0,0.125,False,False,,False
42,0,False,8,0.0,0.125,False,False,,False
43,0,False,8,0.0,0.0,False,False,,False
44,0,False,24,0.5,0.0,False,False,,False
45,0,True,8,0.375,0.875,False,True,16,False
46,4,False,16,0.375,0.625,True,True,16,False
47,1,False,8,0.0,0.0,False,False,,False
48,5,False,8,0.625,0.5,True,True,16,False
49,0,False,8,0.0,0.0,False,False,16,False
50,0,False,8,0.0,0.0,False,False,,False
51,0,False,8,0.0,0.0,False,False,,False
52,0,False,8,0.0,0.0,False,False,,False
53,0,False,16,0.0,0.375,True,True,16,False
54,2,True,8,1.0,1.0,False,True,56,False
55,0,False,8,0.375,0.75,True,True,16,False
56,3,True,8,0.625,0.875,False,True,8,False
57,0,False,8,0.0,0.0,False,False,,False
58,1,False,8,0.125,0.0,False,False,,False
59,1,False,8,0.125,0.0,False,False,,False
60,0,False,8,0.0,0.0,False,False,,False
61,0,False,8,0.0,0.0,False,False,,False
62,0,False,8,0.0,0.0,False,False,,False
63,0,False,8,0.0,0.0,False,False,,False
64,0,False,8,0.0,0.0,False,False,,False
65,4,False,8,1.0,1.0,True,True,16,False
66,0,False,8,0.0,0.0,False,False,,False
67,0,False,8,0.0,0.0,False,False,,False
68,0,False,8,0.0,0.0,False,False,,False
69,0,False,32,0.0,0.25,True,True,32,False
70,0,False,8,0.0,0.25,True,True,16,False
71,0,False,8,0.0,0.0,False,False,,False
72,2,True,8,0.0,0.125,False,False,,False
73,0,False,8,0.0,0.0,False,False,,False
74,0,False,8,0.0,0.0,False,False,,False
75,0,False,8,0.0,0.0,False,False,,False
78,0,False,8,0.0,0.0,False,False,,False
79,0,False,8,0.0,0.0,False,False,,False
80,0,False,8,0.0,0.0,False,False,,False
81,0,True,32,0.125,0.375,False,True,32,False
82,0,False,8,0.0,0.0,False,False,,False
83,1,True,8,0.0,0.0,False,False,,False
84,0,False,8,0.0,0.0,False,False,,False
85,0,False,8,0.0,0.0,False,False,,False
86,1,False,8,0.875,0.625,True,True,8,False
87,0,False,8,0.0,0.0,False,False,,False
88,0,True,24,0.5,0.75,False,True,24,False
89,0,False,8,0.0,0.0,False,False,,False
90,0,False,32,0.0,0.25,True,True,32,False
91,0,False,24,0.0,1.0,True,True,24,False
92,0,False,8,0.0,0.0,False,False,,False
93,0,False,8,0.0,0.0,False,False,,False
94,0,False,8,0.0,0.0,False,False,,False
95,0,False,8,0.0,0.0,False,False,,False
96,0,False,8,0.0,0.0,False,False,,False
97,2,False,8,0.0,0.0,False,False,,False
98,0,False,24,0.25,1.0,True,True,32,False
99,0,False,8,0.0,0.0,False,False,,False
100,0,False,8,0.0,0.0,False,False,,False
101,0,False,8,0.0,0.0,False,False,,False
102,0,False,16,0.0,0.125,False,False,,False
103,0,False,8,0.0,0.0,False,False,,False
104,0,False,8,0.0,0.0,False,False,,False
105,0,False,8,0.0,0.0,False,False,,False
106,0,False,8,0.0,0.0,False,False,,False
107,0,False,8,0.0,0.0,False,False,,False
108,0,False,8,0.375,0.25,True,True,32,False
109,0,False,24,0.0,0.0,False,False,,False
110,0,False,8,0.0,0.0,False,False,,False
111,0,False,8,0.0,0.0,False,False,,False
112,0,False,8,0.0,0.0,False,False,,False
113,0,False,8,0.0,0.0,False,False,,False
114,0,False,8,0.125,0.0,False,False,,False
115,0,False,8,0.125,0.125,False,False,,False
116,0,True,8,0.375,0.375,False,True,16,False
117,0,False,8,0.125,0.625,True,True,8,False
118,0,False,8,0.0,0.125,False,False,,False
119,0,False,8,0.0,0.0,False,False,,False
120,0,False,8,0.0,0.0,False,False,,False
121,0,False,24,0.0,0.25,True,True,24,False
122,0,False,8,0.125,0.125,False,False,,False
123,0,False,8,0.0,0.125,False,False,48,False
124,0,False,8,0.0,0.0,False,False,,False
125,0,False,40,0.0,0.0,False,False,,False
126,0,False,8,0.0,0.0,False,False,,False
127,0,False,8,0.0,0.0,False,False,,False
128,0,False,16,0.25,0.25,True,True,16,False
129,0,False,8,0.0,0.0,False,False,,False
130,0,False,32,0.0,0.0,False,False,,False
131,0,False,8,0.25,0.0,False,False,,False
132,0,False,8,0.0,0.0,False,False,,False
133,0,False,8,0.75,0.875,True,True,16,False
134,0,False,8,0.0,0.0,False,False,,False
135,0,False,8,0.5,0.5,True,True,8,False
136,0,False,8,0.0,0.0,False,False,,False
137,0,False,8,0.0,0.0,False,False,,False
138,0,False,8,0.0,0.0,False,False,,False
139,0,False,8,0.0,0.0,False,False,,False
140,0,False,8,0.25,0.75,True,True,16,False
141,1,False,8,0.375,0.125,False,False,,False
142,0,False,8,0.0,0.0,False,False,,False
143,0,False,8,0.0,0.0,False,False,,False
144,0,False,8,0.0,0.0,False,False,,False
145,0,False,8,0.0,0.0,False,False,,False
146,1,False,8,0.0,0.0,False,False,,False
147,0,True,32,0.0,1.0,False,True,32,False
148,2,False,8,0.0,0.0,False,False,,False
149,0,False,8,0.0,0.0,False,False,,False
150,0,False,8,0.125,0.125,False,False,,False
151,0,False,8,0.0,0.0,False,False,,False
152,0,False,8,0.0,0.0,False,False,,False
153,0,False,8,0.0,0.0,False,False,,False
154,0,False,8,0.0,0.0,False,False,,False
155,0,False,8,0.375,0.375,True,True,8,False
156,0,False,8,0.0,0.0,False,False,,False
157,0,False,8,0.0,0.0,False,False,,False
158,0,False,8,0.0,0.0,False,False,,False
159,0,False,8,0.0,0.0,False,False,,False
160,0,False,8,0.0,0.0,False,False,,False
161,0,True,16,0.5,0.375,False,True,16,False
162,0,False,8,0.0,0.0,False,False,,False
163,0,False,8,0.0,0.0,False,False,,False
164,0,False,8,0.0,0.0,False,False,,False
165,0,False,16,0.375,0.25,True,True,16,False
166,0,False,8,0.0,0.0,False,False,,False
167,1,False,8,0.875,0.875,True,True,8,False
168,0,False,8,0.0,0.0,False,False,,False
169,0,False,8,0.0,0.5,True,True,8,False
170,0,False,8,0.0,0.0,False,False,,False
171,0,False,8,0.5,0.125,False,False,,False
172,0,False,8,0.0,0.125,False,False,,False
173,1,False,8,0.0,0.125,False,False,,False
174,0,False,16,0.0,0.0,False,False,,False
175,0,False,8,0.0,0.0,False,False,,False
176,0,False,8,0.0,0.0,False,False,,False
177,0,False,8,0.125,0.0,False,False,,False
178,1,False,8,0.25,0.125,False,False,,False
179,0,False,8,0.0,0.0,False,False,,False
180,0,False,8,0.0,0.125,False,False,,False
181,0,False,24,0.0,0.125,False,False,,False
182,0,False,8,0.25,1.0,True,True,32,False
183,0,False,8,0.0,0.0,False,False,,False
184,0,False,8,0.0,0.0,False,False,,False
185,0,False,16,0.0,1.0,True,True,16,False
186,0,False,8,0.0,0.25,True,True,8,False
187,0,False,8,0.0,0.0,False,False,,False
188,0,False,8,0.0,0.0,False,False,,False
189,0,False,8,0.0,0.0,False,False,,False
190,0,False,8,0.0,0.0,False,False,,False
191,1,False,8,0.25,0.875,True,True,32,False
192,0,False,8,0.125,0.375,True,True,8,False
193,0,False,8,0.375,0.75,True,True,8,False
194,0,False,8,0.0,0.0,False,False,,False
195,0,False,16,0.25,0.125,False,False,,False
196,0,False,24,0.375,0.5,True,True,24,False
197,0,False,8,0.125,0.0,False,False,,False
198,0,False,8,0.0,0.0,False,False,,False
199,0,False,8,0.0,0.125,False,False,,False
200,0,False,8,0.0,0.0,False,False,,False
201,0,False,8,0.0,0.0,False,False,,False
202,0,False,8,0.0,0.0,False,False,,False
203,0,False,16,0.125,0.0,False,False,,False
204,0,False,8,0.0,0.0,False,False,,False
205,0,False,8,0.0,0.0,False,False,,False
206,0,False,8,0.0,0.0,False,False,,False
207,1,False,8,0.0,0.0,False,False,,False
208,0,True,16,1.0,0.75,False,True,32,False
209,0,False,8,0.0,0.0,False,False,,False
210,0,False,16,0.25,0.375,True,True,16,False
211,0,False,8,0.0,0.0,False,False,,False
212,0,False,8,0.0,0.0,False,False,,False
213,1,False,8,0.125,0.375,True,True,8,False
214,0,False,8,0.0,0.0,False,False,,False
215,0,False,16,0.125,0.25,True,True,16,False
216,0,False,8,0.0,0.0,False,False,,False
217,0,False,8,0.0,0.0,False,False,,False
218,0,False,8,0.0,0.375,True,True,8,False
219,0,False,8,0.0,0.0,False,False,,False
220,0,False,8,0.0,0.0,False,False,,False
221,0,False,8,0.0,0.0,False,False,,False
222,0,False,8,0.0,0.0,False,False,,False
223,0,False,8,0.0,0.0,False,False,,False
224,0,False,8,0.0,0.0,False,False,,False
225,0,False,8,0.0,0.0,False,False,,False
226,0,False,8,0.0,0.0,False,False,,False
227,1,False,8,0.625,0.5,True,True,16,False
228,0,False,8,0.125,0.0,False,False,,False
229,5,False,8,0.875,0.875,True,True,16,False
230,0,False,8,0.0,0.0,False,False,,False
231,0,False,8,0.0,0.0,False,False,,False
232,0,False,8,0.0,0.0,False,False,,False
233,0,False,8,0.0,0.0,False,False,,False
234,0,False,8,0.0,0.0,False,False,,False
235,0,False,8,0.0,0.0,False,False,,False
236,0,False,8,0.0,0.0,False,False,,False
237,0,False,8,0.0,0.0,False,False,,False
238,0,False,8,0.0,0.375,True,True,8,False
239,0,False,8,0.0,0.0,False,False,,False
240,0,False,8,0.0,0.0,False,False,,False
241,0,False,8,0.0,0.0,False,False,,False
242,0,False,8,0.0,0.0,False,False,,False
243,0,True,8,0.125,0.0,False,False,16,False
244,0,False,24,0.5,0.625,True,True,24,False
245,0,False,8,0.0,0.0,False,False,,False
246,0,False,8,0.0,0.125,False,False,,False
247,0,False,8,0.0,0.0,False,False,,False
248,0,False,8,0.0,0.0,False,False,,False
249,0,False,8,0.0,0.0,False,False,,False
250,0,False,8,0.0,0.0,False,False,,False
251,0,False,8,0.0,0.0,False,False,,False
252,0,False,8,0.0,0.0,False,False,,False
253,1,False,24,0.0,0.25,True,True,24,False
254,0,False,8,0.0,0.0,False,False,,False
255,0,False,8,0.0,0.0,False,False,,False
256,0,False,8,0.0,0.0,False,False,,False
257,0,False,8,0.0,0.0,False,False,,False
258,0,False,8,0.0,0.125,False,False,,False
259,4,True,8,0.5,0.375,False,True,8,False
260,0,False,8,0.0,0.0,False,False,,False
261,0,False,8,0.0,0.0,False,False,,False
262,0,False,8,0.125,0.625,True,True,48,False
