item_id,trajectory_id,transient_correct,oracle_step,q_native_confirm,q_repair_confirm,repairable_but_never_correct,confirmed_repairable,t_last,temporal_confirmation_complete
0,0,False,8,0.0,0.0,False,False,,False
1,0,False,8,0.0,0.0,False,False,,False
2,0,False,8,0.0,0.0,False,False,,False
3,0,False,8,0.0,0.0,False,False,,False
5,2,False,16,0.5,0.5,True,True,16,False
7,0,False,8,0.0,0.0,False,False,,False
8,2,False,24,0.0,1.0,True,True,24,False
9,0,False,8,0.0,0.0,False,False,,False
10,0,False,16,0.0,0.375,True,True,16,False
11,0,False,8,0.125,0.125,False,False,,False
12,0,False,8,0.0,0.0,False,False,,False
13,0,False,8,0.0,0.25,True,True,8,False
14,0,False,8,0.0,0.0,False,False,,False
15,6,False,40,0.0,0.0,False,False,,False
16,0,False,8,0.875,0.875,True,True,8,False
18,0,False,8,0.0,0.0,False,False,,False
19,0,False,8,0.0,0.0,False,False,,False
20,0,False,8,0.0,0.0,False,False,,False
21,0,False,8,0.0,0.0,False,False,,False
22,0,False,8,0.25,0.25,True,True,8,False
23,0,False,8,0.0,0.0,False,False,,False
24,0,False,8,0.0,0.0,False,False,,False
25,0,False,8,0.0,0.0,False,False,,False
26,0,False,8,0.0,0.0,False,False,,False
27,0,False,8,0.0,0.0,False,False,,False
28,0,False,8,0.0,0.0,False,False,,False
29,0,False,8,0.0,0.0,False,False,,False
30,0,False,8,0.0,0.0,False,False,,False
31,0,False,8,0.0,0.0,False,False,,False
32,0,False,8,0.0,1.0,True,True,8,False
33,0,False,8,0.0,0.0,False,False,,False
34,0,False,8,0.0,0.0,False,False,,False
35,0,False,8,0.0,0.125,False,False,,False
37,1,False,16,0.0,1.0,True,True,24,False
38,4,False,8,0.0,1.0,True,True,16,False
39,0,False,8,0.0,0.125,False,False,,False
40,3,False,8,0.875,0.875,True,True,24,False
41,0,False,8,0.0,0.0,False,False,,False
42,2,False,8,1.0,0.875,True,True,8,False
43,1,False,16,0.125,1.0,True,True,16,False
44,0,False,8,0.0,0.0,False,False,,False
45,0,False,8,0.0,0.125,False,False,,False
46,0,False,8,1.0,1.0,True,True,8,False
47,0,False,8,0.0,0.0,False,False,,False
48,1,False,8,1.0,1.0,True,True,16,False
49,0,False,8,0.0,0.0,False,False,,False
50,0,False,8,0.0,0.0,False,False,,False
51,4,False,8,0.125,0.125,False,False,,False
52,0,False,8,0.125,0.125,False,False,16,False
53,2,False,8,0.0,0.0,False,False,,False
54,1,False,8,0.625,0.0,False,False,,False
55,0,False,8,0.0,0.0,False,False,,False
56,0,False,8,0.0,0.0,False,False,,False
57,2,False,16,0.0,1.0,True,True,16,False
58,1,False,16,0.0,0.75,True,True,16,False
59,0,False,16,0.0,0.0,False,False,,False
60,0,False,8,0.0,0.0,False,False,,False
61,0,False,8,0.0,0.0,False,False,,False
62,0,False,8,0.0,0.0,False,False,,False
63,0,False,8,0.0,0.0,False,False,,False
64,0,False,8,0.0,0.0,False,False,,False
65,0,False,8,0.0,0.0,False,False,,False
66,0,False,8,0.0,0.125,False,False,,False
67,0,False,8,0.0,0.0,False,False,,False
68,0,False,8,0.0,0.0,False,False,,False
69,0,False,8,0.0,0.0,False,False,,False
70,0,False,8,0.0,0.0,False,False,,False
71,0,False,16,0.0,0.0,False,False,,False
72,0,False,8,0.0,0.0,False,False,,False
73,0,False,16,0.0,0.75,True,True,16,False
74,4,False,24,0.25,0.25,True,True,24,False
75,0,False,8,0.0,0.0,False,False,,False
76,0,False,8,0.0,0.0,False,False,,False
77,0,False,8,0.0,0.0,False,False,,False
79,0,False,8,0.0,0.0,False,False,,False
80,4,False,8,0.0,0.625,True,True,8,False
82,0,False,8,0.0,0.0,False,False,,False
84,0,False,8,0.0,0.0,False,False,,False
86,0,False,8,0.0,0.0,False,False,,False
87,0,False,8,0.0,0.0,False,False,,False
88,0,False,8,0.0,0.0,False,False,,False
89,0,False,8,0.0,0.0,False,False,,False
90,0,False,8,0.0,1.0,True,True,16,False
91,0,False,8,0.0,0.0,False,False,,False
92,3,False,8,0.0,1.0,True,True,16,False
93,0,False,16,0.0,1.0,True,True,16,False
94,4,False,8,0.375,1.0,True,True,16,False
95,1,False,24,0.0,1.0,True,True,24,False
96,0,False,8,1.0,1.0,True,True,16,False
97,0,False,8,0.0,0.875,True,True,8,False
98,0,False,8,0.0,0.0,False,False,,False
99,0,False,24,0.0,1.0,True,True,24,False
100,0,False,8,0.0,0.0,False,False,,False
101,0,False,8,0.0,0.0,False,False,,False
102,0,False,8,0.0,0.0,False,False,,False
103,3,False,24,0.625,0.375,True,True,24,False
104,1,False,8,0.125,0.75,True,True,48,False
105,0,False,8,0.0,0.0,False,False,,False
107,0,False,8,0.0,0.0,False,False,,False
108,0,False,8,0.0,0.0,False,False,,False
109,0,False,24,0.0,0.875,True,True,24,False
110,0,False,8,0.0,0.0,False,False,,False
111,0,False,8,0.0,0.0,False,False,,False
112,3,False,8,0.0,0.0,False,False,,False
113,0,False,8,0.25,0.0,False,False,,False
114,0,False,8,0.0,0.0,False,False,,False
115,0,False,8,0.0,0.0,False,False,,False
116,0,False,8,0.0,0.0,False,False,,False
117,0,False,8,0.0,0.0,False,False,,False
118,0,False,8,0.0,0.0,False,False,,False
120,0,False,8,0.0,0.0,False,False,,False
121,0,False,8,0.0,0.0,False,False,,False
122,1,False,24,0.75,1.0,True,True,24,False
123,0,False,8,0.0,0.0,False,False,,False
124,0,False,8,0.0,0.0,False,False,,False
125,0,False,8,0.75,1.0,True,True,8,False
126,0,False,8,0.0,0.0,False,False,,False
127,1,False,8,0.375,0.75,True,True,48,False
128,2,False,8,0.375,0.375,True,True,8,False
130,0,False,8,0.0,0.0,False,False,,False
131,0,False,8,0.0,0.0,False,False,,False
132,0,False,8,0.0,0.0,False,False,,False
133,0,False,8,0.0,0.0,False,False,,False
134,0,False,8,0.0,0.0,False,False,,False
135,1,False,8,0.0,1.0,True,True,16,False
136,1,False,8,0.0,0.0,False,False,,False
137,0,False,8,0.0,0.0,False,False,,False
138,0,False,8,0.125,0.125,False,False,16,False
139,0,False,8,0.0,0.0,False,False,,False
140,0,False,8,0.0,0.0,False,False,,False
141,0,False,8,0.125,0.875,True,True,8,False
142,0,False,8,0.0,0.0,False,False,,False
143,3,False,8,0.125,0.0,False,False,,False
144,0,False,8,0.0,0.0,False,False,,False
145,0,False,16,0.0,0.625,True,True,24,False
146,3,False,16,0.5,1.0,True,True,16,False
147,1,False,8,0.0,0.625,True,True,8,False
148,1,False,24,0.5,0.625,True,True,48,False
149,0,False,24,0.0,0.875,True,True,24,False
150,1,False,8,0.0,0.0,False,False,,False
151,0,False,8,0.0,0.0,False,False,,False
152,0,False,8,0.0,0.0,False,False,,False
153,2,False,8,0.25,0.0,False,False,,False
154,0,False,8,0.0,0.0,False,False,,False
156,1,False,8,0.0,0.0,False,False,,False
157,0,False,8,0.0,0.0,False,False,,False
158,0,False,8,0.0,0.0,False,False,,False
159,0,False,8,0.0,0.0,False,False,,False
160,3,False,16,0.375,0.25,True,True,16,False
161,0,False,8,0.0,0.0,False,False,,False
162,0,False,8,0.0,0.0,False,False,,False
163,0,False,8,0.0,0.0,False,False,,False
164,0,False,8,0.0,0.0,False,False,,False
165,0,False,8,0.0,0.0,False,False,,False
166,0,False,8,0.0,0.0,False,False,,False
167,0,False,8,0.0,0.0,False,False,,False
168,0,False,8,0.0,0.0,False,False,,False
170,0,False,8,0.0,0.0,False,False,,False
171,0,False,8,0.0,0.0,False,False,,False
172,0,False,8,0.0,0.25,True,True,8,False
173,0,False,8,0.0,0.0,False,False,,False
174,0,False,8,0.0,0.0,False,False,,False
175,0,False,8,0.625,0.625,True,True,16,False
176,0,False,8,0.125,0.125,False,False,,False
177,0,False,8,0.0,0.0,False,False,,False
178,0,False,8,0.0,0.25,True,True,8,False
179,0,False,24,0.0,1.0,True,True,24,False
180,4,False,16,0.0,0.25,True,True,16,False
182,0,False,8,0.0,0.0,False,False,,False
183,0,False,8,0.0,0.0,False,False,,False
184,0,False,8,0.0,0.0,False,False,,False
185,0,False,8,0.0,0.0,False,False,,False
186,0,False,8,0.0,0.0,False,False,,False
188,0,False,8,0.0,0.0,False,False,,False
190,0,False,8,0.0,0.0,False,False,,False
191,0,False,8,0.0,0.0,False,False,,False
192,0,False,8,0.0,0.0,False,False,,False
193,0,False,8,0.0,0.125,False,False,,False
194,0,False,16,0.0,1.0,True,True,16,False
195,1,False,8,0.0,0.875,True,True,16,False
196,0,False,8,0.0,0.0,False,False,,False
197,5,False,8,0.0,0.625,True,True,16,False
198,0,False,8,0.0,0.0,False,False,,False
199,0,False,8,0.0,0.0,False,False,,False
200,4,False,8,0.0,0.0,False,False,,False
201,0,False,8,0.0,0.0,False,False,,False
202,0,False,16,0.0,0.0,False,False,,False
203,0,False,8,0.0,0.0,False,False,,False
204,1,False,8,0.375,0.75,True,True,8,False
205,3,False,8,0.0,0.0,False,False,,False
207,1,False,16,0.875,0.875,True,True,24,False
208,2,False,16,0.0,0.0,False,False,,False
209,0,False,8,0.0,0.0,False,False,,False
210,0,True,8,0.25,1.0,False,True,8,False
211,0,False,8,0.0,0.0,False,False,,False
212,0,False,8,0.0,0.0,False,False,,False
213,0,False,8,0.0,0.0,False,False,,False
214,2,False,8,0.0,1.0,True,True,8,False
215,4,False,8,0.0,0.0,False,False,,False
216,0,False,8,0.0,0.0,False,False,,False
217,0,False,8,0.0,0.0,False,False,,False
218,0,False,8,0.0,0.0,False,False,,False
219,0,False,8,0.0,0.0,False,False,,False
220,0,False,8,0.0,0.0,False,False,,False
221,0,False,8,0.0,0.0,False,False,,False
222,0,False,8,0.0,0.875,True,True,16,False
223,0,False,8,0.0,0.0,False,False,,False
224,0,False,8,0.0,0.0,False,False,,False
225,0,False,8,0.0,0.0,False,False,,False
226,0,False,8,0.0,0.0,False,False,,False
227,0,False,8,0.0,0.0,False,False,,False
229,0,False,8,0.0,0.0,False,False,,False
230,0,False,8,0.0,0.0,False,False,,False
231,0,False,8,0.0,0.0,False,False,,False
232,0,False,8,0.0,0.0,False,False,,False
233,0,False,8,0.0,0.0,False,False,,False
234,0,False,8,0.0,0.0,False,False,,False
236,4,False,8,0.0,0.0,False,False,,False
237,1,False,8,0.0,0.0,False,False,,False
238,0,False,8,0.0,1.0,True,True,16,False
239,0,False,8,0.125,0.0,False,False,,False
240,0,False,8,0.0,0.0,False,False,,False
241,0,False,8,0.0,0.0,False,False,,False
242,0,False,8,0.0,0.0,False,False,,False
243,0,False,8,0.0,0.0,False,False,,False
244,0,False,16,0.0,1.0,True,True,16,False
246,0,False,8,0.0,0.0,False,False,,False
247,0,False,8,0.0,0.0,False,False,,False
248,2,False,8,0.0,1.0,True,True,8,False
249,0,False,8,0.0,0.0,False,False,,False
250,0,False,8,0.0,0.0,False,False,,False
251,1,False,8,0.0,1.0,True,True,16,False
252,0,False,8,0.0,0.0,False,False,,False
253,1,False,8,0.0,0.875,True,True,8,False
254,2,False,8,0.875,0.875,True,True,24,False
255,1,False,16,0.0,1.0,True,True,16,False
256,0,False,8,0.0,0.0,False,False,,False
