item_id,trajectory_id,base_correct,selector,step_index,q_native_confirm,q_repair_confirm,delta_confirm
0,0,False,random_checkpoint,48,0.0,0.0,0.0
0,0,False,earliest_eligible,8,0.0,0.0,0.0
0,0,False,normalized_quarter,16,0.0,0.0,0.0
0,0,False,normalized_midpoint,32,0.0,,
0,0,False,normalized_three_quarter,48,0.0,0.0,0.0
0,0,False,confidence_low,8,0.0,0.0,0.0
0,0,False,entropy_high,8,0.0,0.0,0.0
0,0,False,mask_ratio,8,0.0,0.0,0.0
0,0,False,oof_state_value,40,0.0,0.0,0.0
0,0,False,oracle_localization,8,0.0,0.0,0.0
1,0,False,random_checkpoint,24,0.0,0.0,0.0
1,0,False,earliest_eligible,8,0.0,0.0,0.0
1,0,False,normalized_quarter,16,0.0,0.0,0.0
1,0,False,normalized_midpoint,32,0.0,,
1,0,False,normalized_three_quarter,48,0.0,0.0,0.0
1,0,False,confidence_low,16,0.0,0.0,0.0
1,0,False,entropy_high,8,0.0,0.0,0.0
1,0,False,mask_ratio,8,0.0,0.0,0.0
1,0,False,oof_state_value,16,0.0,0.0,0.0
1,0,False,oracle_localization,8,0.0,0.0,0.0
2,0,False,random_checkpoint,64,0.0,,
2,0,False,earliest_eligible,8,0.0,0.0,0.0
2,0,False,normalized_quarter,16,0.0,0.0,0.0
2,0,False,normalized_midpoint,32,0.0,,
2,0,False,normalized_three_quarter,48,0.0,0.0,0.0
2,0,False,confidence_low,8,0.0,0.0,0.0
2,0,False,entropy_high,8,0.0,0.0,0.0
2,0,False,mask_ratio,8,0.0,0.0,0.0
2,0,False,oof_state_value,40,0.0,0.0,0.0
2,0,False,oracle_localization,8,0.0,0.0,0.0
2,5,True,random_checkpoint,16,0.625,1.0,0.375
2,5,True,earliest_eligible,8,1.0,0.875,-0.125
2,5,True,normalized_quarter,16,0.625,1.0,0.375
2,5,True,normalized_midpoint,32,1.0,,
2,5,True,normalized_three_quarter,48,1.0,1.0,0.0
2,5,True,confidence_low,16,0.625,1.0,0.375
2,5,True,entropy_high,16,0.625,1.0,0.375
