JobIDRaw|JobName|State|Elapsed|Start|End|NodeList|AllocTRES|MaxRSS|TotalCPU|ExitCode
49256|repair_bm_gsm8k_full_diffusion|RUNNING|6-06:43:24|2026-09-17T14:01:50|Unknown|server2|billing=8,cpu=8,gres/gpu=1,mem=60G,node=1||00:18.078|0:0
49256.batch|batch|RUNNING|6-06:43:24|2026-09-17T14:01:50|Unknown|server2|cpu=8,gres/gpu=1,mem=60G,node=1||00:00:00|0:0
49256.extern|extern|RUNNING|6-06:43:24|2026-09-17T14:01:50|Unknown|server2|billing=8,cpu=8,gres/gpu=1,mem=60G,node=1||00:00:00|0:0
49256.0|hostname|COMPLETED|00:00:00|2026-09-19T15:54:35|2026-09-19T15:54:35|server2|cpu=1,gres/gpu=1,mem=60G,node=1|12K|00:00.002|0:0
49256.1|bash|COMPLETED|00:00:15|2026-09-19T15:54:48|2026-09-19T15:55:03|server2|cpu=1,gres/gpu=1,mem=60G,node=1|1144932K|00:06.800|0:0
49256.2|bash|COMPLETED|00:00:04|2026-09-19T15:55:41|2026-09-19T15:55:45|server2|cpu=1,gres/gpu=1,mem=60G,node=1|128K|00:04.611|0:0
49256.3|bash|FAILED|00:00:00|2026-09-19T15:56:15|2026-09-19T15:56:15|server2|cpu=1,gres/gpu=1,mem=60G,node=1|80K|00:00.006|2:0
49256.4|bash|COMPLETED|00:00:01|2026-09-19T15:56:38|2026-09-19T15:56:39|server2|cpu=1,gres/gpu=1,mem=60G,node=1|956K|00:00.561|0:0
49256.5|bash|COMPLETED|00:00:00|2026-09-19T15:57:57|2026-09-19T15:57:57|server2|cpu=1,gres/gpu=1,mem=60G,node=1|112K|00:00.008|0:0
49256.6|bash|COMPLETED|00:00:01|2026-09-19T15:59:00|2026-09-19T15:59:01|server2|cpu=1,gres/gpu=1,mem=60G,node=1|41672K|00:01.340|0:0
49256.7|bash|COMPLETED|00:00:01|2026-09-19T15:59:31|2026-09-19T15:59:32|server2|cpu=1,gres/gpu=1,mem=60G,node=1|672K|00:00.161|0:0
49256.8|bash|COMPLETED|00:00:00|2026-09-19T16:00:12|2026-09-19T16:00:12|server2|cpu=1,gres/gpu=1,mem=60G,node=1|216K|00:00.015|0:0
49256.9|bash|COMPLETED|00:00:00|2026-09-19T16:00:34|2026-09-19T16:00:34|server2|cpu=1,gres/gpu=1,mem=60G,node=1|252K|00:00.019|0:0
49256.10|bash|COMPLETED|00:00:02|2026-09-19T16:01:26|2026-09-19T16:01:28|server2|cpu=1,gres/gpu=1,mem=60G,node=1|13648K|00:01.899|0:0
49256.11|bash|COMPLETED|00:00:00|2026-09-19T16:01:41|2026-09-19T16:01:41|server2|cpu=1,gres/gpu=1,mem=60G,node=1|1092K|00:00.152|0:0
49256.12|bash|COMPLETED|00:00:00|2026-09-19T16:07:30|2026-09-19T16:07:30|server2|cpu=1,gres/gpu=1,mem=60G,node=1|756K|00:00.024|0:0
49256.13|bash|COMPLETED|00:00:02|2026-09-19T16:08:25|2026-09-19T16:08:27|server2|cpu=1,gres/gpu=1,mem=60G,node=1|416K|00:02.472|0:0
