id,backbone,task,stage,priority,status,job_id,execution_git_sha
llada-math500-r0-finalsha,llada,math500,R0,0,PASS,52676,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada-math500-r1-finalsha,llada,math500,R1,1,PASS,,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada-math500-r2-finalsha,llada,math500,R2,2,PASS,52678,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada-gsm8k-r0-finalsha,llada,gsm8k,R0,10,PASS,52677,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada-gsm8k-r1-finalsha,llada,gsm8k,R1,11,PASS,,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada-gsm8k-r2-finalsha,llada,gsm8k,R2,12,PASS,52679,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_base_finalsha-shard-000,llada,math500,base,20,SEALED,52687,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_gsm8k_base_finalsha-shard-000,llada,gsm8k,base,30,NEEDS_REVIEW,52764,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_gsm8k_base_finalsha-shard-001,llada,gsm8k,base,30,WAITING_PRIORITY,,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_core_finalsha-shard-000,llada,math500,r3_core,21,DONE,52738,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_core_finalsha-shard-001,llada,math500,r3_core,21,RUNNING,52739,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_core_finalsha-shard-002,llada,math500,r3_core,21,PENDING,52740,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_core_finalsha-shard-003,llada,math500,r3_core,21,RUNNING,52741,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_core_finalsha-shard-004,llada,math500,r3_core,21,PENDING,52742,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_core_finalsha-shard-005,llada,math500,r3_core,21,NEEDS_REVIEW,52760,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_core_finalsha-shard-006,llada,math500,r3_core,21,NEEDS_REVIEW,52758,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_temporal_finalsha-shard-000,llada,math500,temporal,22,PENDING,52746,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_temporal_finalsha-shard-001,llada,math500,temporal,22,PENDING,52747,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_temporal_finalsha-shard-002,llada,math500,temporal,22,PENDING,52748,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_temporal_finalsha-shard-003,llada,math500,temporal,22,PENDING,52749,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
llada_math500_temporal_finalsha-shard-004,llada,math500,temporal,22,PENDING,52750,78fe5d7c1829b67d1bb1416b7205edfa647bb2fa
